acc,loss,val_acc,val_loss,trial_no,aug_type,magnitude,sample_no,mean_late_val_acc
0.5985,1.1611987648010254,0.463,1.4413680362701415,0,-,-,1,
0.597,1.1388567266464233,0.482,1.4324312915802002,0,-,-,1,
0.5995,1.1153343782424927,0.474,1.4367422561645509,0,-,-,1,
0.5975,1.1119183082580566,0.462,1.4564783582687377,0,-,-,1,
0.623,1.0683633193969726,0.479,1.4310629148483276,0,-,-,1,
0.6185,1.0716049270629884,0.483,1.4233275413513184,0,-,-,1,
0.632,1.032131003856659,0.471,1.4580858573913573,0,-,-,1,
0.6365,1.0241503887176513,0.478,1.4283558320999146,0,-,-,1,
0.641,1.002837203025818,0.488,1.412302248954773,0,-,-,1,
0.6515,0.9884306282997132,0.486,1.433423975944519,0,-,-,1,
0.6635,0.9566514010429382,0.466,1.444225730895996,0,-,-,1,
0.666,0.9524263706207275,0.496,1.437189744949341,0,-,-,1,
0.6815,0.9294657258987427,0.484,1.4504755039215087,0,-,-,1,
0.6845,0.9078611369132996,0.493,1.440161849975586,0,-,-,1,
0.703,0.881451476097107,0.484,1.442972318649292,0,-,-,1,
0.6865,0.8905218253135682,0.497,1.4422960557937623,0,-,-,1,
0.7035,0.8722053203582764,0.492,1.4429174528121949,0,-,-,1,
0.712,0.8360812005996704,0.485,1.4578064584732056,0,-,-,1,
0.699,0.8438504481315613,0.484,1.4576775550842285,0,-,-,1,
0.714,0.8144749722480774,0.481,1.4699803485870362,0,-,-,1,
0.7135,0.795585533618927,0.478,1.4629292469024657,0,-,-,1,
0.7345,0.7650842700004578,0.49,1.491505747795105,0,-,-,1,
0.736,0.7337276010513306,0.49,1.4794271726608277,0,-,-,1,
0.736,0.7421196966171265,0.493,1.4829810600280762,0,-,-,1,
0.648,1.0677713623046876,0.472,1.5221348695755006,1,5,0.8442657485810175,1,0.5018
0.68075,0.9337144403457641,0.455,1.536969386100769,1,5,0.8442657485810175,1,0.5018
0.726,0.8305125911235809,0.469,1.5306597557067871,1,5,0.8442657485810175,1,0.5018
0.72275,0.8110330755710602,0.469,1.5331204719543456,1,5,0.8442657485810175,1,0.5018
0.726,0.7951031267642975,0.474,1.517641872406006,1,5,0.8442657485810175,1,0.5018
0.74525,0.7470767157077789,0.478,1.5124316749572755,1,5,0.8442657485810175,1,0.5018
0.7625,0.6999438683986664,0.467,1.577474702835083,1,5,0.8442657485810175,1,0.5018
0.7655,0.6856759943962097,0.467,1.5485914096832276,1,5,0.8442657485810175,1,0.5018
0.7785,0.6452066321372986,0.485,1.5243612766265868,1,5,0.8442657485810175,1,0.5018
0.7955,0.613358535528183,0.472,1.5876959457397462,1,5,0.8442657485810175,1,0.5018
0.78875,0.5983669452667236,0.481,1.573605182647705,1,5,0.8442657485810175,1,0.5018
0.79025,0.581034346818924,0.47,1.6243554182052613,1,5,0.8442657485810175,1,0.5018
0.81975,0.5412524075508117,0.48,1.6097442646026612,1,5,0.8442657485810175,1,0.5018
0.827,0.5125709782838821,0.47,1.6360384826660157,1,5,0.8442657485810175,1,0.5018
0.837,0.5011667506694794,0.477,1.6320673475265504,1,5,0.8442657485810175,1,0.5018
0.8385,0.4744059983491898,0.49,1.6207792720794678,1,5,0.8442657485810175,1,0.5018
0.85325,0.45301338732242585,0.481,1.6635556716918944,1,5,0.8442657485810175,1,0.5018
0.85025,0.4472854036092758,0.486,1.6483797225952148,1,5,0.8442657485810175,1,0.5018
0.86725,0.3991617634296417,0.493,1.699325213432312,1,5,0.8442657485810175,1,0.5018
0.87,0.38190611016750337,0.485,1.7474374904632568,1,5,0.8442657485810175,1,0.5018
0.877,0.3672604113817215,0.491,1.7225799179077148,1,5,0.8442657485810175,1,0.5018
0.88175,0.36608492803573606,0.477,1.7267647857666015,1,5,0.8442657485810175,1,0.5018
0.8875,0.3502232792377472,0.493,1.783644947052002,1,5,0.8442657485810175,1,0.5018
0.89325,0.3257972366809845,0.491,1.766823444366455,1,5,0.8442657485810175,1,0.5018
0.894,0.3152700949311256,0.478,1.7867474918365478,1,5,0.8442657485810175,1,0.5018
0.90675,0.29637950015068054,0.481,1.775898635864258,1,5,0.8442657485810175,1,0.5018
0.9005,0.3057356119155884,0.484,1.8273704853057862,1,5,0.8442657485810175,1,0.5018
0.9085,0.2784658301472664,0.49,1.822734872817993,1,5,0.8442657485810175,1,0.5018
0.91525,0.26891032260656356,0.484,1.867294141769409,1,5,0.8442657485810175,1,0.5018
0.9125,0.26290135127305986,0.5,1.8709437055587768,1,5,0.8442657485810175,1,0.5018
0.91975,0.2455105404406786,0.493,1.928513427734375,1,5,0.8442657485810175,1,0.5018
0.9185,0.24214181017875672,0.501,1.8610135812759399,1,5,0.8442657485810175,1,0.5018
0.92525,0.22703194504976273,0.492,1.9132545223236084,1,5,0.8442657485810175,1,0.5018
0.93025,0.2233296816945076,0.49,1.8881732835769653,1,5,0.8442657485810175,1,0.5018
0.9385,0.2007793191075325,0.504,1.9489940738677978,1,5,0.8442657485810175,1,0.5018
0.93225,0.20317261335253717,0.499,1.9154046611785889,1,5,0.8442657485810175,1,0.5018
0.93775,0.19800616487860678,0.488,2.007305907249451,1,5,0.8442657485810175,1,0.5018
0.944,0.1786967763900757,0.496,2.0010435876846313,1,5,0.8442657485810175,1,0.5018
0.93375,0.20061794516444206,0.502,1.9668854427337648,1,5,0.8442657485810175,1,0.5018
0.9445,0.17777475500106812,0.503,2.0728303184509276,1,5,0.8442657485810175,1,0.5018
