acc,loss,val_acc,val_loss,trial_no,aug_type,magnitude,sample_no,mean_late_val_acc
0.495,1.4089958744049071,0.39,1.6971736431121827,1,5,0.8442657485810175,1,0.38380000000000003
0.513,1.3951714611053467,0.356,1.7754499206542969,1,5,0.8442657485810175,1,0.38380000000000003
0.517,1.3802970991134644,0.397,1.6829169578552245,1,5,0.8442657485810175,1,0.38380000000000003
0.5245,1.3411163578033447,0.402,1.6608674249649047,1,5,0.8442657485810175,1,0.38380000000000003
0.5315,1.316211561203003,0.374,1.7783227405548097,1,5,0.8442657485810175,1,0.38380000000000003
0.365,1.8433244495391845,0.349,1.792223445892334,1,5,0.8442657485810175,2,0.39560000000000006
0.371,1.7611004676818847,0.36,1.772314564704895,1,5,0.8442657485810175,2,0.39560000000000006
0.3885,1.7030199146270752,0.356,1.761878991127014,1,5,0.8442657485810175,2,0.39560000000000006
0.403,1.6736330814361573,0.365,1.7422876567840577,1,5,0.8442657485810175,2,0.39560000000000006
0.4125,1.6623576736450196,0.375,1.7220697021484375,1,5,0.8442657485810175,2,0.39560000000000006
0.4365,1.6350635967254639,0.339,1.7885694322586059,1,5,0.8442657485810175,2,0.39560000000000006
0.434,1.6084636611938476,0.368,1.7275406761169434,1,5,0.8442657485810175,2,0.39560000000000006
0.4165,1.6078911247253418,0.385,1.7001845321655273,1,5,0.8442657485810175,2,0.39560000000000006
0.4505,1.5640659227371216,0.367,1.690553020477295,1,5,0.8442657485810175,2,0.39560000000000006
0.4595,1.5413467407226562,0.377,1.6920124111175536,1,5,0.8442657485810175,2,0.39560000000000006
0.472,1.5138956327438355,0.372,1.7469863624572755,1,5,0.8442657485810175,2,0.39560000000000006
0.475,1.4905228958129884,0.384,1.7307111482620239,1,5,0.8442657485810175,2,0.39560000000000006
0.4865,1.478119161605835,0.391,1.677607500076294,1,5,0.8442657485810175,2,0.39560000000000006
0.4875,1.4484268121719361,0.366,1.701879433631897,1,5,0.8442657485810175,2,0.39560000000000006
0.495,1.4379886484146118,0.398,1.6591639404296874,1,5,0.8442657485810175,2,0.39560000000000006
0.5035,1.4107257404327394,0.397,1.6638831243515015,1,5,0.8442657485810175,2,0.39560000000000006
0.5105,1.382764440536499,0.389,1.686090991973877,1,5,0.8442657485810175,2,0.39560000000000006
0.5205,1.3747945165634154,0.406,1.6534589853286743,1,5,0.8442657485810175,2,0.39560000000000006
0.5165,1.3309419059753418,0.39,1.6686439361572265,1,5,0.8442657485810175,2,0.39560000000000006
0.5335,1.3335702428817748,0.396,1.6567732734680176,1,5,0.8442657485810175,2,0.39560000000000006
0.3485,1.82684041595459,0.361,1.8002337665557862,1,5,0.8442657485810175,3,0.3934000000000001
0.3725,1.758880521774292,0.367,1.7754271717071533,1,5,0.8442657485810175,3,0.3934000000000001
0.3955,1.7099705657958983,0.369,1.7471419219970703,1,5,0.8442657485810175,3,0.3934000000000001
0.419,1.6611558475494386,0.355,1.7821973667144775,1,5,0.8442657485810175,3,0.3934000000000001
0.421,1.6582513828277587,0.36,1.738812113761902,1,5,0.8442657485810175,3,0.3934000000000001
0.4185,1.6354832878112793,0.353,1.7960067863464355,1,5,0.8442657485810175,3,0.3934000000000001
0.4325,1.6116859664916992,0.353,1.7403245887756347,1,5,0.8442657485810175,3,0.3934000000000001
0.432,1.5923962802886964,0.368,1.7530473403930664,1,5,0.8442657485810175,3,0.3934000000000001
0.4495,1.5708377952575683,0.372,1.7593043794631957,1,5,0.8442657485810175,3,0.3934000000000001
0.4595,1.5431353282928466,0.367,1.7490417079925538,1,5,0.8442657485810175,3,0.3934000000000001
0.4595,1.5355745906829834,0.38,1.6825299882888793,1,5,0.8442657485810175,3,0.3934000000000001
0.477,1.5017854270935058,0.388,1.6716159915924071,1,5,0.8442657485810175,3,0.3934000000000001
0.4795,1.48257022190094,0.383,1.6627896547317504,1,5,0.8442657485810175,3,0.3934000000000001
0.4895,1.4499789390563964,0.378,1.668785821914673,1,5,0.8442657485810175,3,0.3934000000000001
0.496,1.431249755859375,0.382,1.7487475347518922,1,5,0.8442657485810175,3,0.3934000000000001
0.499,1.433432463645935,0.393,1.6794190692901612,1,5,0.8442657485810175,3,0.3934000000000001
0.506,1.4131975421905518,0.391,1.674634931564331,1,5,0.8442657485810175,3,0.3934000000000001
0.5235,1.363385802268982,0.4,1.673417995452881,1,5,0.8442657485810175,3,0.3934000000000001
0.514,1.3420615234375,0.39,1.6798005619049072,1,5,0.8442657485810175,3,0.3934000000000001
0.5275,1.322169496536255,0.393,1.688765193939209,1,5,0.8442657485810175,3,0.3934000000000001
0.338,1.8389631595611573,0.358,1.7951717309951782,1,5,0.8442657485810175,4,0.3894
0.3685,1.744442081451416,0.362,1.7692832584381104,1,5,0.8442657485810175,4,0.3894
0.404,1.708072687149048,0.353,1.7540555534362794,1,5,0.8442657485810175,4,0.3894
0.399,1.6936643886566163,0.357,1.755473217010498,1,5,0.8442657485810175,4,0.3894
0.402,1.6488545913696289,0.37,1.7607265663146974,1,5,0.8442657485810175,4,0.3894
0.4325,1.6291546211242676,0.368,1.712750560760498,1,5,0.8442657485810175,4,0.3894
