INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'train_set_size': 1000, 'opt_iterations': 500, 'opt_samples': 3, 'opt_initial_points': 30, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:1, 0.5824444446298811, ['coarse-dropout', 0.8442657485810175, 'fog', 0.8472517387841256, 0.6235636967859725]
INFO:root:64, 0.5772222222487131, ['gamma-contrast', 0.10017713995539704, 'sharpen', 0.8983085117586874, 0.7363692340267838]
INFO:root:65, 0.5914444444974263, ['gamma-contrast', 0.03631897795138506, 'emboss', 0.8242792628745074, 0.9215191136698276]
INFO:root:66, 0.5407777781751422, ['gamma-contrast', 0.04439424176367358, 'brighten', 0.9106083036864212, 0.5727692811999381]
INFO:root:67, 0.6083333332803513, ['gamma-contrast', 0.005299616517829509, 'add-to-hue-and-saturation', 0.7238590870459207, 0.2831389720630369]
INFO:root:68, 0.5403333335452609, ['gamma-contrast', 0.004123922247672108, 'emboss', 0.764003898420002, 0.5908614077876394]
INFO:root:69, 0.563111111217075, ['gamma-contrast', 0.0715215758671225, 'brighten', 0.8248009534591045, 0.3311397561692729]
INFO:root:70, 0.6026666666931577, ['gamma-contrast', 0.9482259245888747, 'shear', 0.8698029916290777, 0.5900683321149929]
INFO:root:71, 0.5298888891537985, ['gamma-contrast', 0.01901535759099993, 'translate-x', 0.864199519039643, 0.9910614877143094]
INFO:root:72, 0.5444444442325169, ['gamma-contrast', 0.005952338574683027, 'shear', 0.9309756954265722, 0.17970821446243293]
INFO:root:73, 0.536333333571752, ['gamma-contrast', 0.01437769424035851, 'shear', 0.093698752980529, 0.5958168386172153]
INFO:root:74, 0.5166666667196487, ['gamma-contrast', 0.008373667910109963, 'fog', 0.24990847029327873, 0.5280836485915994]
INFO:root:75, 0.5441111109786563, ['gamma-contrast', 0.024273578283222304, 'add-to-hue-and-saturation', 0.4028475400002749, 0.4643537637371461]
INFO:root:76, 0.5263333335717519, ['gamma-contrast', 0.004895627056393016, 'sharpen', 0.1245156707894243, 0.541549601325655]
INFO:root:77, 0.5596666666931576, ['gamma-contrast', 0.00799896516208465, 'add-to-hue-and-saturation', 0.2950296959510759, 0.839452580446691]
INFO:root:78, 0.6041111111376021, ['gamma-contrast', 0.28803576214717247, 'brighten', 0.9734219015279517, 0.5542630143773203]
INFO:root:79, 0.5695555556615193, ['gamma-contrast', 0.02731984461197657, 'shear', 0.1938911638893031, 0.4747822839730155]
INFO:root:80, 0.5804444444974264, ['gamma-contrast', 0.24206719419268402, 'emboss', 0.07491485228579244, 0.5300136930371614]
INFO:root:81, 0.5952222221957313, ['gamma-contrast', 0.019463341459099785, 'coarse-dropout', 0.12311624473826069, 0.19106425642007102]
INFO:root:82, 0.531000000026491, ['gamma-contrast', 0.009480094585616274, 'sharpen', 0.26704670620294163, 0.33391518526439296]
INFO:root:83, 0.5492222224341499, ['gamma-contrast', 0.011029753319434123, 'emboss', 0.17498957738225376, 0.3513566615317835]
INFO:root:84, 0.5676666667726304, ['gamma-contrast', 0.0024464920268645334, 'emboss', 0.8530581715105877, 0.22984508934998177]
INFO:root:85, 0.5275555555290645, ['gamma-contrast', 0.008067635311562628, 'crop', 0.21543924755919203, 0.3299078750814805]
INFO:root:86, 0.565333333545261, ['gamma-contrast', 0.06043238376571837, 'brighten', 0.9823378326285815, 0.7977721425334826]
INFO:root:87, 0.5310000002384185, ['gamma-contrast', 0.008297499779266639, 'emboss', 0.06899022082823993, 0.7802772302840657]
INFO:root:88, 0.5657777779632145, ['gamma-contrast', 0.004502841859437058, 'fog', 0.04240069464536523, 0.07132241339870372]
INFO:root:89, 0.5356666666401757, ['gamma-contrast', 0.023381731575498613, 'brighten', 0.022362990641806472, 0.7440034787722968]
INFO:root:90, 0.6239999998410544, ['gamma-contrast', 0.2013304132272397, 'gamma-contrast', 0.8574633803111525, 0.5473375658471857]
INFO:root:91, 0.5286666666136848, ['gamma-contrast', 0.062409519758837365, 'additive-gaussian-noise', 0.8771764466609983, 0.8982759883559787]
INFO:root:92, 0.5656666666136847, ['gamma-contrast', 0.03854784300693093, 'emboss', 0.8473035835309743, 0.9442358319240783]
INFO:root:93, 0.5325555555025736, ['gamma-contrast', 0.13273914259361333, 'fog', 0.8651001259920327, 0.4355521571569856]
INFO:root:94, 0.6499999999205273, ['gamma-contrast', 0.1616143678619051, 'invert', 0.8649338181075668, 0.9807941173679033]
INFO:root:95, 0.6002222220367854, ['gamma-contrast', 0.1448298494417676, 'add-to-hue-and-saturation', 0.2144837065061685, 0.5744388048336474]
INFO:root:96, 0.6003333332803513, ['gamma-contrast', 0.11023777829990614, 'gamma-contrast', 0.8607737691040931, 0.9066805112928852]
INFO:root:97, 0.5788888887829251, ['gamma-contrast', 0.12092956881451869, 'brighten', 0.9125274885773572, 0.5513057894757509]
INFO:root:98, 0.5286666667461395, ['gamma-contrast', 0.0055480894187209815, 'brighten', 0.18147614224833922, 0.6717290477380056]
INFO:root:99, 0.5402222223281861, ['gamma-contrast', 0.0010587398139715323, 'fog', 0.07563115982625924, 0.3184899136479477]
INFO:root:100, 0.5442222223546769, ['gamma-contrast', 0.08372613808910657, 'clouds', 0.8613521382633341, 0.5219480263696539]
INFO:root:101, 0.5265555556880104, ['gamma-contrast', 0.008716603219932064, 'additive-gaussian-noise', 0.8723022375271596, 0.991565007086401]
INFO:root:102, 0.561999999973509, ['gamma-contrast', 0.08703840549009258, 'gaussian-blur', 0.8721539313223226, 0.7534979811624505]
