INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'train_set_size': 2000, 'opt_iterations': 10000, 'opt_samples': 3, 'opt_initial_points': 20, 'child_epochs': 50, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:1, 0.45555555523766406, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 'dropout', 0.38438170729269994, 0.29753460654447234]
INFO:root:20, 0.4264444442325168, ['gaussian-blur', 0.35404666208381025, 'additive-gaussian-noise', 0.03362509349883203, 'clouds', 0.32099724137349755, 0.22126268518378284]
INFO:root:21, 0.5088888887564341, ['gamma-contrast', 0.7969288856559971, 'dropout', 0.23575321893415374, 'translate-x', 0.6330338295393335, 0.5096036992838873]
INFO:root:22, 0.4797777778307597, ['dropout', 0.27126614249079967, 'clouds', 0.12809481349325416, 'fog', 0.6304358490370426, 0.4281002654794511]
INFO:root:23, 0.47322222216924037, ['dropout', 0.7247766500962484, 'rotate', 0.005140677781104276, 'crop', 0.5922430160066745, 0.48964499700540176]
INFO:root:24, 0.3633333335982429, ['dropout', 0.990739459503353, 'gaussian-blur', 0.3055467214431153, 'dropout', 0.2723033511822461, 0.4769502214092288]
INFO:root:25, 0.49066666658719377, ['dropout', 0.9980202061268714, 'clouds', 0.21538741197122885, 'invert', 0.1893213480068791, 0.4684498951427596]
INFO:root:26, 0.44977777783075973, ['brighten', 0.8806447064899726, 'shear', 0.30169043823154856, 'rotate', 0.5508455339809943, 0.48012806543959985]
INFO:root:27, 0.39355555526415503, ['additive-gaussian-noise', 0.9402928840147141, 'additive-gaussian-noise', 0.30928300762610933, 'gaussian-blur', 0.3403929869014654, 0.47853416726993503]
INFO:root:28, 0.5213333333333333, ['invert', 0.3983972101263372, 'additive-gaussian-noise', 0.03219829865742208, 'gamma-contrast', 0.018955666090269666, 0.4754554664204331]
INFO:root:29, 0.4517777775393592, ['translate-x', 0.7915978757235312, 'shear', 0.8680825030066696, 'rotate', 0.263084403277516, 0.47736227477029813]
INFO:root:30, 0.4343333330949147, ['sharpen', 0.9459169788844742, 'clouds', 0.283602371300635, 'additive-gaussian-noise', 0.31353869774856197, 0.4748221055891495]
INFO:root:31, 0.45011111084620153, ['dropout', 0.9730787393758978, 'additive-gaussian-noise', 0.3727088626510357, 'translate-y', 0.6337336066057535, 0.4787205338868269]
INFO:root:32, 0.4713333332538605, ['clouds', 0.21153308030668033, 'additive-gaussian-noise', 0.3205743275037822, 'clouds', 0.477435651500852, 0.47586532480502497]
INFO:root:33, 0.385555555290646, ['coarse-dropout', 0.929668506617131, 'additive-gaussian-noise', 0.23756049366944848, 'translate-x', 0.5434545377102564, 0.47564381819412493]
INFO:root:34, 0.31322222231494057, ['dropout', 0.970799495340995, 'additive-gaussian-noise', 0.22077636141920237, 'sharpen', 0.2712642231142158, 0.18512648283376634]
INFO:root:35, 0.42477777780426873, ['dropout', 0.9518867883101985, 'additive-gaussian-noise', 0.797631890719099, 'sharpen', 0.10682957864477041, 0.5155504394281487]
INFO:root:36, 0.42177777775128683, ['translate-y', 0.9887344860555914, 'shear', 0.694050116586621, 'sharpen', 0.14458461672904546, 0.24966024119258884]
INFO:root:37, 0.44611111097865636, ['brighten', 0.971493217159851, 'gaussian-blur', 0.2186548182586559, 'sharpen', 0.1174107006500559, 0.04750672027875681]
INFO:root:38, 0.33055555544959175, ['emboss', 0.5122827764813976, 'additive-gaussian-noise', 0.14148042445036083, 'sharpen', 0.4767430519917397, 0.4725124292505053]
INFO:root:39, 0.34111111111111114, ['sharpen', 0.9147770573075282, 'additive-gaussian-noise', 0.15897063124534164, 'sharpen', 0.48177148499532185, 0.5061705724020762]
INFO:root:40, 0.4297777774598863, ['dropout', 0.600645765211789, 'additive-gaussian-noise', 0.15140069486878263, 'sharpen', 0.4965875896757792, 0.7904742940003531]
INFO:root:41, 0.4188888888888889, ['crop', 0.35711706413247696, 'additive-gaussian-noise', 0.1561613618761323, 'sharpen', 0.2217833725815102, 0.5706378507836768]
INFO:root:42, 0.4882222219043308, ['fog', 0.2727927270800589, 'additive-gaussian-noise', 0.20694425478149975, 'sharpen', 0.7763194730431769, 0.3916215334582893]
INFO:root:43, 0.4234444441795349, ['clouds', 0.8049330032486884, 'additive-gaussian-noise', 0.1961399428414639, 'sharpen', 0.4547659172988848, 0.7413590225695228]
INFO:root:44, 0.42833333328035145, ['brighten', 0.8470257177284432, 'additive-gaussian-noise', 0.05776688582002844, 'sharpen', 0.42437311955721047, 0.2580403738431179]
INFO:root:45, 0.40488888875643414, ['dropout', 0.987991378153052, 'emboss', 0.6235722072680999, 'sharpen', 0.47722034358860266, 0.5090743474676915]
INFO:root:46, 0.4403333332803514, ['shear', 0.990487785368901, 'additive-gaussian-noise', 0.3815686818903802, 'sharpen', 0.8544048120949257, 0.4449429092094149]
INFO:root:47, 0.410555555873447, ['emboss', 0.10338510345960697, 'additive-gaussian-noise', 0.11952972611359927, 'sharpen', 0.3785561621123532, 0.4779571892083576]
INFO:root:48, 0.4240000000794728, ['dropout', 0.07301802997434904, 'translate-y', 0.06516490247810193, 'sharpen', 0.45806716459598096, 0.053939317213121965]
INFO:root:49, 0.49966666634877527, ['dropout', 0.1981325748659884, 'invert', 0.2403558726307678, 'sharpen', 0.4089896507538523, 0.46527794834586167]
INFO:root:50, 0.433555555317137, ['translate-x', 0.9330847810743392, 'additive-gaussian-noise', 0.23196815225405504, 'fog', 0.2218065764311697, 0.00834449760587508]
INFO:root:51, 0.4034444443384806, ['additive-gaussian-noise', 0.9885451094222326, 'additive-gaussian-noise', 0.23028650416963264, 'sharpen', 0.42859918655601614, 0.409610217677702]
INFO:root:52, 0.4313333331478966, ['additive-gaussian-noise', 0.7611067751775231, 'additive-gaussian-noise', 0.22421486907553384, 'sharpen', 0.9058489987875032, 0.2535571105549332]
INFO:root:53, 0.45066666656070287, ['fog', 0.9099114176209845, 'additive-gaussian-noise', 0.2194090852733222, 'sharpen', 0.043268915764765, 0.20878012778690963]
INFO:root:54, 0.45388888875643413, ['additive-gaussian-noise', 0.9683343710479536, 'translate-x', 0.16040274197140506, 'sharpen', 0.4669475693863854, 0.48446914598122215]
INFO:root:55, 0.40711111068725586, ['dropout', 0.9722591198045868, 'additive-gaussian-noise', 0.15679742653526232, 'invert', 0.3699253078276739, 0.4482105152107807]
INFO:root:56, 0.3729999997615814, ['dropout', 0.5747243249906027, 'additive-gaussian-noise', 0.21622715129210762, 'sharpen', 0.5686462215701246, 0.6325289111846917]
INFO:root:57, 0.4306666666666667, ['clouds', 0.6275943500235522, 'additive-gaussian-noise', 0.1656934174356102, 'coarse-dropout', 0.47012831579238223, 0.5204999420881388]
INFO:root:58, 0.41600000007947285, ['dropout', 0.86606522527079, 'additive-gaussian-noise', 0.09251985115593743, 'sharpen', 0.04519085101893484, 0.46012377815867944]
INFO:root:59, 0.46955555555555556, ['rotate', 0.9390423551864282, 'additive-gaussian-noise', 0.0006697710983853967, 'gaussian-blur', 0.5611781457058626, 0.4918836888087995]
INFO:root:60, 0.5035555553436278, ['invert', 0.39584832318117247, 'additive-gaussian-noise', 0.6053406082090748, 'sharpen', 0.47590653833254315, 0.7823450414423252]
